price,sqft,view
650000,2950,wood
2.00E+06,3050,city
1.35E+06,2753,mountain
951000,3250,city
650000,2150,wood
437500,2320,mountain
329950,2080,mountain
480000,3230,wood
660000,2400,mountain
445000,2100,mountain
2.25E+06,5180,wood
269950,1950,mountain
1.10E+06,4090,mountain
1.51E+06,3300,wood
1.07E+06,3900,wood
655000,1450,city
472000,4410,mountain
480000,1030,mountain
2.40E+06,3650,city
592500,1420,mountain
369900,760,city
2.90E+06,5050,mountain
2.05E+06,3830,mountain
630000,2950,mountain
550000,1970,wood
267500,1590,mountain
3.08E+06,4550,city
834000,2370,mountain
2.38E+06,3650,city
